"ref_area.label","source.label","indicator.label","sex.label","classif1.label","classif2.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Bangladesh","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation","Sex: Total","Occupation (ISCO-08): 5. Service and sales workers","Currency: U.S. dollars","2017",139.728,,,"Currency: BGD - Taka (BDT)","Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation","Sex: Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2017",104.208,,,"Currency: BGD - Taka (BDT)","Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation","Sex: Total","Occupation (ISCO-08): 7. Craft and related trades workers","Currency: U.S. dollars","2017",125.556,,,"Currency: BGD - Taka (BDT)","Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation","Sex: Total","Occupation (ISCO-08): 8. Plant and machine operators, and assemblers","Currency: U.S. dollars","2017",142.133,,,"Currency: BGD - Taka (BDT)","Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation","Sex: Total","Occupation (ISCO-08): 9. Elementary occupations","Currency: U.S. dollars","2017",93.59,,,"Currency: BGD - Taka (BDT)","Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation","Sex: Total","Occupation (ISCO-08): 0. Armed forces occupations","Currency: U.S. dollars","2017",306.801,,,"Currency: BGD - Taka (BDT)","Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation","Sex: Male","Occupation (ISCO-08): Total","Currency: U.S. dollars","2017",149.741,,,"Currency: BGD - Taka (BDT)","Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation","Sex: Male","Occupation (ISCO-08): 1. Managers","Currency: U.S. dollars","2017",353.183,,,"Currency: BGD - Taka (BDT)","Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation","Sex: Male","Occupation (ISCO-08): 2. Professionals","Currency: U.S. dollars","2017",262.211,,,"Currency: BGD - Taka (BDT)","Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation","Sex: Male","Occupation (ISCO-08): 3. Technicians and associate professionals","Currency: U.S. dollars","2017",236.457,,,"Currency: BGD - Taka (BDT)","Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation","Sex: Male","Occupation (ISCO-08): 4. Clerical support workers","Currency: U.S. dollars","2017",195.241,,,"Currency: BGD - Taka (BDT)","Repository: ILO-STATISTICS - Micro data processing"
